   timestamp          x          y         theta        diff_angle
479.513500 -17.2415524 -13.1361408 -179.0229950 0.0516052
479.880500 -17.2449093 -13.4513254 -179.0691528 0.0461578
480.347000 -17.2513371 -13.8510914 -179.0676270 0.0015259
480.813500 -17.2593975 -14.2505589 -179.0696716 0.0020447
481.180500 -17.2584038 -14.5689850 -179.1142578 0.0445862
481.647000 -17.2661381 -14.9659567 -179.0622559 0.0520020
482.080500 -17.2094097 -15.3309698 176.9485779 2.1136780
482.313500 -17.1513824 -15.5131445 173.9881287 2.9604492
482.680500 -17.0517387 -15.8051443 169.7915192 4.1966095
483.080500 -16.9246712 -16.1128750 165.8031616 3.9883575
483.447000 -16.7807999 -16.3724766 161.1748505 4.6283112
483.847000 -16.6044731 -16.6466713 156.5681305 4.6067200
484.280500 -16.3992023 -16.9245052 152.2951660 4.2729645
484.781000 -16.1553345 -17.2150955 147.6436005 4.6515656
485.048000 -16.0102482 -17.3483658 144.6817627 2.9618378
485.447000 -15.7954807 -17.5493584 140.9763336 3.7054291
485.813500 -15.5811911 -17.7188683 137.7231598 3.2531738
486.247000 -15.3059120 -17.8962402 132.8977203 4.8254395
486.780500 -14.9582682 -18.0995331 127.7230988 5.1746216
487.147500 -14.7096806 -18.2101402 124.0114212 3.7116776
487.580500 -14.4097605 -18.3292789 120.1052780 3.9061432
488.047500 -14.0783548 -18.4234009 114.9948959 5.1103821
488.480500 -13.7660522 -18.4834347 110.4664688 4.5284271
488.913500 -13.4506330 -18.5279675 106.6651840 3.8012848
489.147500 -13.2767429 -18.5410385 104.1065140 2.5586700
489.547000 -12.9707565 -18.5336628 99.4593811 4.6471329
490.013500 -12.6237268 -18.5105343 94.8776550 4.5817261
490.381500 -12.3445377 -18.4835930 91.9744873 2.9031677
491.047000 -11.8387089 -18.4779549 90.8736649 1.1008224
491.647000 -11.3712845 -18.4835320 90.9567184 0.0830536
492.013500 -11.0895557 -18.4857178 90.8873291 0.0693893
492.413500 -10.7791939 -18.4870548 90.8797302 0.0075989
493.013500 -10.2950230 -18.4978085 90.9233246 0.0435944
493.280500 -10.0830383 -18.5017433 90.9745255 0.0512009
493.580500 -9.8455629 -18.5051651 91.0216370 0.0471115
494.081000 -9.4381437 -18.5117397 91.0267487 0.0051117
494.547000 -9.0619946 -18.5172024 91.1030579 0.0763092
494.913500 -8.7654991 -18.5226955 91.0554657 0.0475922
495.313500 -8.4384956 -18.5305557 90.9563751 0.0990906
495.713500 -8.1160583 -18.5328846 91.0314865 0.0751114
496.047000 -7.8399572 -18.5375328 91.0141754 0.0173111
496.213500 -7.7010870 -18.5420971 90.9996948 0.0144806
496.580500 -7.3998799 -18.5463295 90.9951172 0.0045776
